País,Estado,Cidade,Localidade,Módulo.Grid,Trilha,Comp.Transecto,Numero.subparcelas,forma.coleta,Ano,Parcela,Transecto,Subparcela,Lado,Classe,Ordem,Família,Subfamília,Genero,Taxon,Condição,Frequencia,Grupo.trófico,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador,CoordenadasNS,CoordenadasLW,CoordenadasNS
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,2000,,240,D,Insecta,Isptera,Termitidae,Apicotermitinae,Aparatermes,Aparatermes_sp._7,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Termitidae,Apicotermitinae,Aparatermes,Aparatermes_sp._7,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,3000,,240,D,Insecta,Isptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._8,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,4000,,240,E,Insecta,Isptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._8,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,0,,240,E,Insecta,Isptera,Rhinotermitidae,Heterotermitinae,Heterotermes,Heterotermes_tenuis,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Rhinotermitidae,Heterotermitinae,Heterotermes,Heterotermes_tenuis,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,2000,,240,E,Insecta,Isptera,Termitidae,Apicotermitinae,Ruptitermes,Ruptitermes_sp._11,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T2,250m,2,Manual,2013,3000,,240,E,Insecta,Isptera,Termitidae,Apicotermitinae,Ruptitermes,Ruptitermes_sp._8,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Termitidae,Apicotermitinae,Ruptitermes,Ruptitermes_sp._6,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,500,,240,E,Insecta,Isptera,Termitidae,Apicotermitinae,Ruptitermes,Ruptitermes_sp._13,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,3000,,240,E,Insecta,Isptera,Termitidae,Apicotermitinae,Ruptitermes,Ruptitermes_sp._13,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_Novo,T3,250m,2,Manual,2013,4000,,240,D,Insecta,Isptera,Termitidae,Apicotermitinae,Ruptitermes,Ruptitermes_sp._13,,,,,,,,,,,,
